,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Female maturity (days),Male maturity (days),Gestation/Incubation (days),Weaning (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Weaning weight (g),Adult weight (g),Growth rate (1/days),Maximum longevity (yrs),Specimen origin,Sample size,Data quality,IMR (per yr),MRDT (yrs),Metabolic rate (W),Body mass (g),Temperature (K),Class_cleaned,Order_transformed
134,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Eurycea,lucifuga,Cave salamander,1095.0,1095.0,13.0,,73.0,,,,,,,9.1,captivity,small,acceptable,,,,,,Amphibians,Caudata
137,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Eurycea,wilderae,Blue ridge two-lined salamander,1278.0,1278.0,,,32.0,,,,,,,8.0,captivity,small,acceptable,,,,,,Amphibians,Caudata
139,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Gyrinophilus,porphyriticus,Spring salamander,1460.0,1460.0,,,61.0,,,,,,,18.5,captivity,small,acceptable,,,,,,Amphibians,Caudata
140,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Hemidactylium,scutatum,Four-toed salamander,912.0,912.0,,,30.0,,,,,,,8.9,captivity,small,acceptable,,,,,,Amphibians,Caudata
141,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,hubrichti,Red Hills salamander,2008.0,,,,9.0,,,,,,,19.7,captivity,small,acceptable,,,,,,Amphibians,Caudata
142,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,cinereus,Eastern red-backed salamander,730.0,730.0,,,8.0,,,,,0.5,,25.0,wild,medium,acceptable,,,9.9e-05,0.76,278.5,Amphibians,Caudata
143,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,dunni,Dunn's salamander,1095.0,1095.0,70.0,,9.4,,,,,,,11.0,captivity,small,acceptable,,,,,,Amphibians,Caudata
145,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,glutinosus,Northern slimy salamander,910.0,910.0,,,21.0,,,,,4.2,,20.1,captivity,small,acceptable,,,0.0019100000000000002,4.2,288.0,Amphibians,Caudata
146,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,jordani,Red-cheeked salamander,1825.0,1095.0,,,,,,,,,,19.8,captivity,tiny,acceptable,,,,,,Amphibians,Caudata
149,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Pseudotriton,montanus,Mud salamander,1643.0,1095.0,,,,,,,,,,15.1,captivity,small,acceptable,,,,,,Amphibians,Caudata
150,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Pseudotriton,ruber,Red salamander,1825.0,1460.0,75.0,,80.0,,,,,,,20.1,captivity,small,acceptable,,,,,,Amphibians,Caudata
151,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Speleomantes,italicus,Italian cave salamander,1278.0,1278.0,304.0,,10.0,,,,,,,10.6,captivity,small,acceptable,,,,,,Amphibians,Caudata
152,Animalia,Chordata,Amphibia,Caudata,Proteidae,Necturus,maculosus,Mudpuppy,2190.0,1825.0,50.0,,68.0,,,,,,,34.0,unknown,medium,acceptable,,,,,,Amphibians,Caudata
154,Animalia,Chordata,Amphibia,Caudata,Proteidae,Proteus,anguinus,Olm,4124.0,,133.0,,35.0,,4562.0,,,17.0,,102.0,wild,medium,acceptable,,999.0,,,,Amphibians,Caudata
157,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Cynops,pyrrhogaster,Japanese firebelly newt,913.0,913.0,20.0,,200.0,,,,,,,25.0,captivity,medium,acceptable,,,,,,Amphibians,Caudata
158,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Ichthyosaura,alpestris,Laureutis alpine salamander,1460.0,1095.0,,,,,,,,,,15.0,captivity,small,acceptable,,,,,,Amphibians,Caudata
160,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Lissotriton,vulgaris,Smooth newt,1095.0,730.0,,,180.0,,,,,,,20.0,captivity,medium,acceptable,,,,,,Amphibians,Caudata
161,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Notophthalmus,perstriatus,Striped newt,487.0,487.0,,,,,,,,,,12.9,captivity,large,acceptable,,,,,,Amphibians,Caudata
162,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Notophthalmus,viridescens,Eastern newt,2000.0,2000.0,,,,,,,,,,25.0,captivity,medium,acceptable,,,,,,Amphibians,Caudata
166,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Pleurodeles,waltl,Iberian ribbed newt,,,13.0,,725.0,,,,,,,19.5,captivity,medium,acceptable,,,,,,Amphibians,Caudata
168,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Salamandra,salamandra,European fire salamander,,,,,,,,,,19.1,,24.0,captivity,medium,acceptable,,,0.00857,19.1,288.0,Amphibians,Caudata
